,bts_id,lat,lon,comuna
285,PEPOO,-33.5956,-70.8455,PEÑAFLOR
286,SATG1,-33.558,-70.7903,MAIPÚ
287,FLRC1,-33.5057,-70.6019,MACUL
288,NCOOF,-33.5855,-70.574,PUENTE ALTO
289,DHRLF,-33.3625,-70.5149,LO BARNECHEA
290,GAMBF,-33.4006,-70.5537,LAS CONDES
291,MCPPF,-33.4257,-70.6142,PROVIDENCIA
292,QUILE,-33.3298,-70.7053,QUILICURA
293,MNDC3,-33.4431,-70.6537,SANTIAGO
294,JUMPE,-33.4884,-70.55,PEÑALOLÉN
295,LPAJA,-33.4715,-70.542,PEÑALOLÉN
296,LQUIL,-33.5675,-70.5862,LA FLORIDA
297,CTORF,-33.5977,-70.6034,PUENTE ALTO
298,SEMC2,-33.4462,-70.626,PROVIDENCIA
299,ALDEF,-33.5331,-70.6353,SAN RAMÓN
300,CSNOF,-33.4488,-70.6684,SANTIAGO
301,FERRF,-33.4446,-70.6804,ESTACIÓN CENTRAL
302,PRUTF,-33.6083,-70.8791,PEÑAFLOR
303,ACY7A,-33.3904,-70.5474,LAS CONDES
304,CCARO,-33.3732,-70.6831,CONCHALÍ
305,PAA3E,-33.4024,-70.579,LAS CONDES
306,MMORT,-33.6925,-71.2159,MELIPILLA
307,PAA1F,-33.4024,-70.579,LAS CONDES
308,CONDF,-33.4484,-70.6456,SANTIAGO
309,PAY5A,-33.4024,-70.579,LAS CONDES
310,JMCAR,-33.5542,-70.5967,LA FLORIDA
311,ASCLF,-33.3962,-70.7934,PUDAHUEL
312,ACTRF,-33.4187,-70.5885,LAS CONDES
313,ARZTF,-33.525,-70.6749,LA CISTERNA
314,MEUCA,-33.4399,-70.6398,SANTIAGO
315,MELEO,-33.4224,-70.6094,PROVIDENCIA
316,5DFF2,-33.4149,-70.7187,CERRO NAVIA
317,VIVC1,-33.4164,-70.6663,INDEPENDENCIA
318,BULC1,-33.4489,-70.6524,SANTIAGO
319,CBOLL,-33.5769,-71.2139,MELIPILLA
320,CMARF,-33.6062,-70.6412,LA PINTANA
321,ALBC2,-33.3904,-70.5156,LAS CONDES
322,ELPC2,-33.5745,-70.5578,PUENTE ALTO
323,CSJNF,-33.5037,-70.627,SAN JOAQUÍN
324,JOTAF,-33.456,-70.6872,ESTACIÓN CENTRAL
325,ANTUF,-33.4283,-70.6129,PROVIDENCIA
326,CAPIT,-33.4526,-70.6011,ÑUÑOA
327,CARME,-33.4511,-70.6366,SANTIAGO
328,CLRYF,-33.2492,-70.7496,COLINA
329,HUBET,-33.3526,-70.692,HUECHURABA
330,PERUR,-33.6265,-70.8907,PEÑAFLOR
331,LMPF2,-33.2819,-70.8905,LAMPA
332,GOBSF,-33.5491,-70.6779,EL BOSQUE
333,ELPZF,-33.4191,-70.5722,LAS CONDES
334,LAFAU,-33.4905,-70.7719,MAIPÚ
335,ESBC2,-33.5948,-70.6972,SAN BERNARDO
336,LYDAF,-33.6425,-71.3496,MELIPILLA
337,ERQMA,-33.6119,-70.6979,SAN BERNARDO
338,EHURU,-33.5552,-70.8625,PADRE HURTADO
339,RENK3,-33.3922,-70.75,RENCA
340,INZON,-33.4189,-70.5673,LAS CONDES
341,ISLMF,-33.7562,-70.8981,ISLA DE MAIPO
342,JAGUF,-33.3785,-70.6754,CONCHALÍ
343,UCXC1,-33.5003,-70.6432,SAN MIGUEL
344,SAVIP,-33.672,-70.6226,PIRQUE
345,TROVA,-33.4423,-70.7633,PUDAHUEL
346,CSMBE,-33.4324,-70.6294,PROVIDENCIA
347,MAPQF,-33.415,-70.5891,LAS CONDES
348,PRODA,-33.4328,-70.6251,PROVIDENCIA
349,ESANF,-33.4576,-70.543,LA REINA
350,LPEBF,-33.4935,-70.5498,PEÑALOLÉN
351,SAPLO,-33.4442,-70.7209,LO PRADO
352,MAVME,-33.6848,-71.2135,MELIPILLA
353,WMAF2,-33.5215,-70.5559,LA FLORIDA
354,MUPEC,-33.4024,-70.6199,RECOLETA
355,MRACF,-33.4038,-70.5795,LAS CONDES
356,VCLOF,-33.8402,-70.8038,PAINE
357,RENC1,-33.4037,-70.6995,RENCA
358,HARRI,-33.4051,-70.54,LAS CONDES
359,PACG1,-33.4756,-70.6899,ESTACIÓN CENTRAL
360,LARAL,-33.2927,-70.8821,LAMPA
361,HTALF,-33.8678,-70.7476,PAINE
362,PRDC1,-33.4221,-70.6023,PROVIDENCIA
363,PRMMF,-33.4288,-70.6203,PROVIDENCIA
364,SGUTF,-33.4179,-70.7371,CERRO NAVIA
365,SAMLF,-33.541,-70.563,LA FLORIDA
366,TMZC2,-33.4599,-70.6909,ESTACIÓN CENTRAL
367,SPFRF,-33.3806,-70.5679,VITACURA
368,AMA1A,-33.4825,-70.751,MAIPÚ
369,AMA1C,-33.4825,-70.751,MAIPÚ
370,VTCNF,-33.4242,-70.5836,LAS CONDES
371,AMA1E,-33.4825,-70.751,MAIPÚ
372,YNGC2,-33.4278,-70.7047,QUINTA NORMAL
373,FBATF,-32.9952,-70.6921,COLINA
374,HQUEF,-33.8105,-70.6366,PAINE
375,LANCO,-33.5762,-70.6915,EL BOSQUE
376,MEXPF,-33.4517,-70.6781,ESTACIÓN CENTRAL
377,ATBLA,-33.4552,-70.5482,LA REINA
378,LOCLB,-33.497,-70.6824,PEDRO AGUIRRE CERDA
379,VIAJA,-33.4499,-70.7713,PUDAHUEL
380,GLETF,-33.4771,-70.6752,SANTIAGO
381,HIMA2,-33.731,-70.9097,ISLA DE MAIPO
382,AFRRF,-33.4394,-70.7068,QUINTA NORMAL
383,PINC1,-33.5832,-70.6318,LA PINTANA
384,HMER2,-33.5096,-70.6811,LO ESPEJO
385,PLNAF,-33.4936,-70.5426,PEÑALOLÉN
386,PBICF,-33.5069,-70.692,LO ESPEJO
387,VMACO,-33.187,-70.655,COLINA
388,POA3C,-33.5174,-70.7174,CERRILLOS
389,BELGI,-33.414,-70.6555,INDEPENDENCIA
390,POA2A,-33.5174,-70.7174,CERRILLOS
391,POA2E,-33.5174,-70.7174,CERRILLOS
392,SLRC1,-33.278,-70.7739,LAMPA
393,LLALM,-33.4408,-70.5995,PROVIDENCIA
394,FELHU,-33.3903,-70.5603,VITACURA
395,PHURT,-33.5808,-70.8103,PADRE HURTADO
396,VIEJA,-33.6099,-70.5266,PUENTE ALTO
397,QQB1E,-33.4881,-70.5776,PEÑALOLÉN
398,ASRRF,-33.4052,-70.711,RENCA
399,BRJAF,-33.4606,-70.6829,ESTACIÓN CENTRAL
400,CERXB,-33.4927,-70.7063,CERRILLOS
401,HAPO1,-33.4187,-70.545,LAS CONDES
402,MELI2,-33.6775,-71.2297,MELIPILLA
403,PSJOA,-33.5949,-70.6731,SAN BERNARDO
404,LPAEP,-33.6193,-70.6319,LA PINTANA
405,SBELL,-33.4668,-70.6361,SANTIAGO
406,HAPO2,-33.4208,-70.5445,LAS CONDES
407,FEGRE,-33.4675,-70.5473,PEÑALOLÉN
408,CODOC,-33.361,-70.5065,LO BARNECHEA
409,VESMI,-33.3972,-70.7692,RENCA
410,HAPO6,-33.4119,-70.5301,LAS CONDES
411,HBCF3,-33.4883,-70.6836,PEDRO AGUIRRE CERDA
412,HSFC6,-33.4068,-70.5181,LAS CONDES
413,ESPAJ,-33.4565,-70.6664,SANTIAGO
414,GUANO,-33.1562,-70.8017,TILTIL
415,HDIR1,-33.4209,-70.7589,CERRO NAVIA
