,bts_id,lat,lon
637,CIUSA,-33.5545,-70.795
638,LANBM,-33.3869,-70.7938
639,MAMA1,-33.4803,-70.7517
640,ESAN4,-33.4413,-70.6518
641,PARIL,-33.3067,-70.7008
642,HAGSB,-33.6025,-70.7017
643,MAMA2,-33.4803,-70.7517
644,FAMAM,-33.4799,-70.7516
645,TALGT,-33.6753,-70.9499
646,LUISZ,-33.4119,-70.57300000000001
647,MGENC,-33.4386,-70.6518
648,ALTLS,-33.1399,-70.7054
649,MCFLC,-33.1678,-70.3258
650,CPEZC,-33.1923,-70.3405
651,CTLTD,-33.1437,-70.7147
652,SANTO,-33.4361,-70.6473
653,SANT2,-33.4439,-70.6238
654,PASTA,-33.4345,-70.6348
655,BCILC,-33.4161,-70.5895
656,SANT4,-33.5403,-70.6347
657,MIHF2,-33.4392,-70.6456
658,TPSC1,-33.3284,-70.5316
659,BCIHU,-33.44,-70.6524
660,ABEDF,-33.4075,-70.5997
661,LAVAN,-33.4231,-70.5896
662,MAQUI,-33.3662,-70.7269
663,CARAB,-33.3711,-70.5775
664,FOSF2,-33.417,-70.596
665,SENOS,-33.4334,-70.7076
666,VITAR,-33.7483,-70.9115
667,BMERF,-33.4552,-70.6839
668,LOSCU,-33.4129,-70.6089
669,MCLAF,-33.449,-70.6125
670,MEVIM,-33.5196,-70.5961
671,TALPE,-33.6432,-70.9164
672,PAINC,-33.8139,-70.7483
673,TDIJU,-33.4534,-70.6478
674,AHALF,-33.4435,-70.6506
675,ARRYF,-33.3355,-70.4839
676,ASFRE,-33.4369,-70.7456
677,CACON,-33.329,-70.7266
678,CCVN2,-33.3967,-71.1421
679,HUING,-33.3394,-70.5119
680,MFLOF,-33.5175,-70.6055
681,MTCAR,-33.4296,-70.6275
682,PARC2,-33.4442,-70.6463
683,MELAM,-33.4447,-70.6553
684,MELOH,-33.4462,-70.6603
685,MEREP,-33.4482,-70.6691
686,HPDV2,-33.4485,-70.5822
687,AHMF2,-33.442,-70.6506
688,CHELO,-33.4224,-70.641
689,LIBEB,-33.4275,-70.6808
690,HBVA1,-33.4278,-70.5846
691,DOCTO,-33.4446,-70.5964
692,ALENO,-33.4136,-70.5975
693,CRECE,-33.3737,-70.5487
694,CUETE,-33.4439,-70.5918
695,DLSLT,-33.5375,-70.544
696,SLINE,-33.3676,-70.7105
697,ESTMO,-33.4417,-70.6486
698,FLLCA,-33.4298,-70.5772
699,LDLDE,-33.3402,-70.5286
700,VINOS,-33.4942,-70.6417
701,AGMAC,-33.4407,-70.6468
702,ALACI,-33.4471,-70.6626
703,APIMB,-33.583,-70.5498
704,ACTLE,-33.569,-70.5826
705,HTELW,-33.4158,-70.595
706,UCATC,-33.4437,-70.641
707,IDABA,-33.4264,-70.6539
708,CPAVA,-33.2814,-70.6734
709,BATNO,-33.2282,-70.8022
710,PDVC2,-33.443000000000005,-70.6071
711,HPPUA,-33.6103,-70.5748
712,AGUES,-33.4416,-70.6582
713,MTAJF,-33.4167,-70.6044
714,AMA2B,-33.4825,-70.751
715,VILIQ,-33.4011,-70.7217
